Sample,Condition,CellLine,AspectRatio
1,Random,Bone Clone,1.28054611567038
2,Random,Bone Clone,1.16815391152095
2,Random,Bone Clone,1.34928943864071
2,Random,Bone Clone,1.46192512446189
2,Random,Bone Clone,1.51998769049847
2,Random,Bone Clone,2.01646187593543
2,Random,Bone Clone,1.20915737962419
2,Random,Bone Clone,1.37768966646853
2,Random,Bone Clone,1.15899524967654
2,Random,Bone Clone,2.53570383777253
2,Random,Bone Clone,1.15979285898517
2,Random,Bone Clone,1.96799480274736
2,Random,Bone Clone,1.37882334959116
2,Random,Bone Clone,1.38225578165065
2,Random,Bone Clone,1.3353489815442
2,Random,Bone Clone,2.12198586338804
2,Random,Bone Clone,1.26281353924679
2,Random,Bone Clone,1.22589211340804
2,Random,Bone Clone,1.30883463017373
2,Random,Bone Clone,2.12758015088756
2,Random,Bone Clone,1.16004007555006
2,Random,Bone Clone,1.39755833379716
2,Random,Bone Clone,1.31604992386077
2,Random,Bone Clone,1.43131644651714
2,Random,Bone Clone,1.25903122502034
2,Random,Bone Clone,1.23027628948312
2,Random,Bone Clone,1.30459056619974
2,Random,Bone Clone,1.56271735379856
2,Random,Bone Clone,1.44191215871226
2,Random,Bone Clone,1.79548311466463
2,Random,Bone Clone,1.13709947745415
2,Random,Bone Clone,1.35776124918469
2,Random,Bone Clone,1.13988425367652
2,Random,Bone Clone,3.15218897014918
2,Random,Bone Clone,1.23918349229268
2,Random,Bone Clone,1.3639377609576
2,Random,Bone Clone,3.11600469345001
2,Random,Bone Clone,1.71804386615315
2,Random,Bone Clone,1.54697213643061
2,Random,Bone Clone,1.36621059921065
2,Random,Bone Clone,1.36039150209453
2,Random,Bone Clone,1.17079557950805
2,Random,Bone Clone,1.23340386927566
2,Random,Bone Clone,1.14972122954286
2,Random,Bone Clone,14.2369683978463
2,Random,Bone Clone,1.41240954545828
2,Random,Bone Clone,2.38829819815747
2,Random,Bone Clone,1.45973906366776
2,Random,Bone Clone,1.11834693584715
2,Random,Bone Clone,1.7058110293267
2,Random,Bone Clone,1.60524157305487
2,Random,Bone Clone,1.21416926367467
2,Random,Bone Clone,1.35468952922124
2,Random,Bone Clone,1.69406253768652
2,Random,Bone Clone,1.40040558485027
2,Random,Bone Clone,1.45413941784782
2,Random,Bone Clone,1.31639004763127
2,Random,Bone Clone,2.3479113454494
2,Random,Bone Clone,1.60901867898029
2,Random,Bone Clone,1.19605145962399
2,Random,Bone Clone,1.93208857422415
2,Random,Bone Clone,1.74245817439786
2,Random,Bone Clone,1.21125969333696
2,Random,Bone Clone,1.38279700128838
2,Random,Bone Clone,1.24298512730975
2,Random,Bone Clone,1.30090098943785
2,Random,Bone Clone,1.45766668204021
2,Random,Bone Clone,1.89692303155604
2,Random,Bone Clone,1.71549710699489
2,Random,Bone Clone,1.77014768585956
2,Random,Bone Clone,1.33271180755902
2,Random,Bone Clone,1.7985904238675
2,Random,Bone Clone,1.14059047702157
2,Random,Bone Clone,1.14939611829686
2,Random,Bone Clone,1.25615772075042
2,Random,Bone Clone,2.37090117406911
2,Random,Bone Clone,1.38487048968867
2,Random,Bone Clone,1.6952884314122
2,Random,Bone Clone,1.4699638510518
2,Random,Bone Clone,1.10146153378638
2,Random,Bone Clone,1.11891067407707
2,Random,Bone Clone,1.75900295610947
2,Random,Bone Clone,1.3482307617544
2,Random,Bone Clone,1.80835762373991
2,Random,Bone Clone,2.92632178847211
2,Random,Bone Clone,1.26622034434985
2,Random,Bone Clone,1.20281618198683
2,Random,Bone Clone,1.5476620899676
2,Random,Bone Clone,1.9673774048619
2,Random,Bone Clone,1.19294564264508
2,Random,Bone Clone,1.16696211719515
2,Random,Bone Clone,1.24259119638522
2,Random,Bone Clone,1.11222542651403
2,Random,Bone Clone,1.44343517141317
2,Random,Bone Clone,1.94597057213775
2,Random,Bone Clone,1.22979258808632
2,Random,Bone Clone,1.51016876552189
2,Random,Bone Clone,1.13451429743799
2,Random,Bone Clone,1.79175207772259
2,Random,Bone Clone,1.20067929454585
2,Random,Bone Clone,1.36196238134151
2,Random,Bone Clone,1.20156717209673
2,Random,Bone Clone,1.45448667703453
2,Random,Bone Clone,1.73710968948721
2,Random,Bone Clone,1.59815246807349
2,Random,Bone Clone,1.95666160421978
2,Random,Bone Clone,1.117251527381
2,Random,Bone Clone,1.50362307966182
2,Random,Bone Clone,1.24978119688329
2,Random,Bone Clone,1.4092422903003
2,Random,Bone Clone,1.40844484097692
2,Random,Bone Clone,1.47274594028429
2,Random,Bone Clone,1.38633783304448
2,Random,Bone Clone,1.32434692555266
2,Random,Bone Clone,1.54677560486207
2,Random,Bone Clone,1.17069927867714
2,Random,Bone Clone,1.90135319488395
2,Random,Bone Clone,1.1450201154074
2,Random,Bone Clone,1.80881213537253
2,Random,Bone Clone,1.21919482632987
2,Random,Bone Clone,1.37919143857962
2,Random,Bone Clone,1.60193540966502
2,Random,Bone Clone,1.57941405654992
2,Random,Bone Clone,1.22442120525087
2,Random,Bone Clone,1.54263919516369
2,Random,Bone Clone,1.29131474057484
2,Random,Bone Clone,2.2713806331864
2,Random,Bone Clone,1.32545591101471
2,Random,Bone Clone,1.31184986101779
2,Random,Bone Clone,1.51826247592276
2,Random,Bone Clone,1.34418737833065
2,Random,Bone Clone,1.30253445257958
2,Random,Bone Clone,1.23218405175752
2,Random,Bone Clone,1.21812496891054
2,Random,Bone Clone,3.36108768970905
2,Random,Bone Clone,1.2704339517554
2,Random,Bone Clone,1.75893026745059
2,Random,Bone Clone,1.22647260886248
2,Random,Bone Clone,1.14701155947792
2,Random,Bone Clone,1.78193938089529
2,Random,Bone Clone,1.81976747040947
2,Random,Bone Clone,1.74398644383123
2,Random,Bone Clone,1.47101683286606
2,Random,Bone Clone,1.18327993606884
2,Random,Bone Clone,1.11837536550707
2,Random,Bone Clone,1.32615025207839
2,Random,Bone Clone,1.10857869175244
2,Random,Bone Clone,1.23715482392558
2,Random,Bone Clone,1.76189843759565
2,Random,Bone Clone,1.58235569555738
2,Random,Bone Clone,1.21193706069086
2,Random,Bone Clone,1.63613240650885
2,Random,Bone Clone,2.30820333848819
2,Random,Bone Clone,1.3420275392926
2,Random,Bone Clone,1.3565538415947
2,Random,Bone Clone,1.43734941462234
2,Random,Bone Clone,1.84680845157289
2,Random,Bone Clone,1.68651259467123
2,Random,Bone Clone,1.14816169801284
2,Random,Bone Clone,1.1773038640737
2,Random,Bone Clone,2.1578259027628
2,Random,Bone Clone,2.83445184487205
2,Random,Bone Clone,2.17137719916139
2,Random,Bone Clone,1.2453484005924
2,Random,Bone Clone,1.89288837769574
2,Random,Bone Clone,1.96952173847386
2,Random,Bone Clone,1.89560060317048
2,Random,Bone Clone,1.37216874596523
2,Random,Bone Clone,1.3339824588916
2,Random,Bone Clone,1.55056341415383
2,Random,Bone Clone,1.13138300787089
2,Random,Bone Clone,1.1487931226009
2,Random,Bone Clone,1.6216357636333
2,Random,Bone Clone,1.38238783365115
2,Random,Bone Clone,1.37554635924985
2,Random,Bone Clone,1.89164399564313
2,Random,Bone Clone,1.65168576748337
2,Random,Bone Clone,2.0095582198372
2,Random,Bone Clone,1.50567447781803
2,Random,Bone Clone,1.30401637557615
2,Random,Bone Clone,1.22810448795441
2,Random,Bone Clone,2.64155087809962
2,Random,Bone Clone,1.1213567451339
2,Random,Bone Clone,1.51285724933147
2,Random,Bone Clone,1.48828898922388
2,Random,Bone Clone,1.1404026365135
2,Random,Bone Clone,1.51282056535678
2,Random,Bone Clone,1.63907661248008
2,Random,Bone Clone,1.48481554922261
2,Random,Bone Clone,1.55167480609794
2,Random,Bone Clone,1.85298414165057
2,Random,Bone Clone,2.74693507103318
2,Random,Bone Clone,1.44465396551913
2,Random,Bone Clone,1.22510570149225
2,Random,Bone Clone,1.27043748602734
2,Random,Bone Clone,1.29433609534001
2,Random,Bone Clone,1.56115366459181
2,Random,Bone Clone,1.28537069692788
2,Random,Bone Clone,1.53522411150681
2,Random,Bone Clone,1.57588094558095
2,Random,Bone Clone,1.28197195068326
2,Random,Bone Clone,1.25687223655252
2,Random,Bone Clone,1.24967754215886
2,Random,Bone Clone,1.17231616584687
2,Random,Bone Clone,1.1037451202804
2,Random,Bone Clone,1.48466950903323
2,Random,Bone Clone,1.90331535673542
2,Random,Bone Clone,1.47911637187826
2,Random,Bone Clone,1.16981682076989
2,Random,Bone Clone,2.08947579019717
2,Random,Bone Clone,1.26575630953711
2,Random,Bone Clone,1.42204458376494
2,Random,Bone Clone,1.6992362432923
